name,weight_units,weight_max,price_min,price_max,count_max
Rachycentron canadum,kg,20.0,10000.0,30000.0,20.0
Panulirus argus,lbs,100.0,150.0,460.0,
Peje Chancho,lbs,100.0,25.0,40.0,
Pardo,lbs,200.0,25.0,40.0,
Ojo Amarillo,lbs,100.0,25.0,40.0,
Bar jack,lbs,100.0,20.0,35.0,
Yarano,lbs,60.0,20.0,30.0,
Palometa,lbs,20.0,20.0,30.0,
Macre de mar,lbs,50.0,20.0,30.0,
Uroteuthis singhalensis,kg,300.0,20000.0,70000.0,150.0
Grupa,lbs,100.0,25.0,50.0,10.0
Sciades herzbergii,kg,50.0,1.0,50.0,
Paleomolidae,kg,50.0,1.0,50.0,
Penaeidae,kg,50.0,1.0,50.0,
Ucides cordatus,kg,,,,1000.0
Cynoscion acoupa,kg,100.0,1.0,100.0,
Mugil brevirostris,kg,100.0,1.0,100.0,
Mugil curema,kg,100.0,1.0,100.0,
Hoplosternum littorale,kg,100.0,1.0,100.0,
Hoplias,kg,100.0,1.0,100.0,
Selar boops,kg,,5000.0,25000.0,100.0
Symphorus nematophorus,kg,,10000.0,30000.0,50.0
Scarus psittacus,kg,,10000.0,30000.0,50.0
Sargocentron rubrum,kg,,20000.0,30000.0,48.0
Myripristis adusta,kg,,10000.0,20000.0,30.0
Portunus pelagicus,kg,50.0,10000.0,80000.0,100.0
Scarus ghobban,kg,,10000.0,30000.0,50.0
TANGIGI,kg,60.0,0.0,350.0,10.0
Plectropomus pessuliferus,kg,35.0,10000.0,450000.0,30.0
Cephalopholis nigripinnis,kg,10.0,15000.0,200000.0,30.0
Epinephelus malabaricus,kg,75.0,10000.0,150000.0,30.0
Panulirus ornatus,kg,100.0,10000.0,300000.0,100.0
Thunnus obesus,kg,150.0,10000.0,100000.0,100.0
Coryphaena hippurus,kg,100.0,10000.0,60000.0,50.0
Elagatis bipinnulata,kg,100.0,10000.0,80000.0,50.0
Decapterus macarellus,kg,150.0,10000.0,50000.0,100.0
Panulirus versicolor,kg,100.0,10000.0,300000.0,100.0
Panulirus homarus,kg,100.0,10000.0,300000.0,100.0
Trichiurus lepturus,kg,50.0,10000.0,85000.0,50.0
Harpiosquilla raphidea,kg,100.0,20000.0,50000.0,100.0
Camaron,lbs,200.0,30.0,130.0,
RockFish,lbs,20.0,30.0,50.0,10.0
